repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
galaxyproject/galaxy,https://github.com/galaxyproject/galaxy,Data intensive science for everyone.,Python,1804,1163,2026-07-07T15:33:26Z,1375,268,True,True,2026-07-07,70,89,True,True,True,True,0,False,large composable API surface,"library terms: engine, pipeline, format | domain terms: bioinformatics, genomics | package manifest | tests present | adoption 33.0 | API surface 268 | source active 0d | library score 70 | tests | examples | docs | very large repo penalty"
scverse/scanpy,https://github.com/scverse/scanpy,Single-cell analysis in Python. Scales to >100M cells.,Python,2506,754,2026-07-07T14:55:23Z,132,233,True,True,2026-07-06,46,88,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface",library terms: format | domain terms: bioinformatics | package manifest | tests present | adoption 35.0 | API surface 233 | source active 1d | library score 46 | tests | docs
scikit-bio/scikit-bio,https://github.com/scikit-bio/scikit-bio,"scikit-bio: a community-driven Python library for bioinformatics, providing versatile data structures, algorithms and educational resources.",Python,1214,334,2026-07-07T17:13:48Z,144,189,True,True,2026-06-28,54,82,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface","library terms: library, format | domain terms: bioinformatics | package manifest | tests present | adoption 27.1 | API surface 189 | source active 9d | library score 54 | tests | docs"
ClawBio/ClawBio,https://github.com/ClawBio/ClawBio,🦖 ClawBio - The first bioinformatics-native AI agent skill library. Local-first. Reproducible. Open. Free.,Python,1025,223,2026-07-07T08:50:21Z,265,293,True,True,2026-07-07,52,80,True,True,True,True,0,False,large composable API surface,"library terms: library, format | domain terms: bioinformatics, genomics | app-ish terms: ui | package manifest | tests present | adoption 21.4 | API surface 293 | source active 0d | library score 52 | tests | examples | docs"
omicverse/omicverse,https://github.com/omicverse/omicverse,"A python library for multi omics included bulk, single cell and spatial RNA-seq analysis.",Python,1124,141,2026-07-07T16:01:13Z,716,261,True,True,2026-07-07,62,78,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: library, format | domain terms: spatial, bioinformatics | package manifest | tests present | adoption 18.3 | API surface 261 | source active 1d | library score 62 | tests | examples | docs"
tanghaibao/jcvi,https://github.com/tanghaibao/jcvi,"Python library to facilitate genome assembly, annotation, and comparative genomics",Python,921,201,2026-07-06T14:30:38Z,155,512,True,True,2026-07-06,62,75,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: library, format | domain terms: bioinformatics, genomics | package manifest | tests present | adoption 19.3 | API surface 512 | source active 1d | library score 62 | tests | docs"
aipoch/medical-research-skills,https://github.com/aipoch/medical-research-skills,"Hundreds of agent skills for medical research, including protocol design, data analysis, evidence insights, and academic writing.",Python,1314,88,2026-06-23T10:32:42Z,681,307,True,True,2026-06-23,76,74,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, large composable API surface","library terms: protocol, format | domain terms: spatial, bioinformatics, genomics | package manifest | tests present | adoption 17.5 | API surface 307 | source active 14d | library score 76 | tests | examples | docs | very large repo penalty"
hail-is/hail,https://github.com/hail-is/hail,Cloud-native genomic dataframes and batch computing,Python,1067,266,2026-07-07T17:08:44Z,579,321,True,True,2026-07-06,52,73,True,False,True,True,0,False,"few/no examples, no CONTRIBUTING detected, large composable API surface","library terms: format | domain terms: bioinformatics, genomics, dataframe | package manifest | adoption 24.0 | API surface 321 | source active 1d | library score 52 | tests | docs | very large repo penalty"
scverse/anndata,https://github.com/scverse/anndata,Annotated data.,Python,756,200,2026-07-07T13:59:02Z,65,505,True,True,2026-07-07,46,71,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface",library terms: format | domain terms: bioinformatics | package manifest | tests present | adoption 17.6 | API surface 505 | source active 0d | library score 46 | tests | docs
biotite-dev/biotite,https://github.com/biotite-dev/biotite,A comprehensive library for computational molecular biology,Python,963,138,2026-07-03T12:43:07Z,235,161,True,True,2026-07-01,54,71,True,True,False,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: library, format | domain terms: bioinformatics | package manifest | tests present | adoption 16.5 | API surface 161 | source active 6d | library score 54 | tests | examples"
