repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
mne-tools/mne-python,https://github.com/mne-tools/mne-python,MNE: Magnetoencephalography (MEG) and Electroencephalography (EEG) in Python,Python,3458,1575,2026-07-07T08:37:30Z,521,216,True,True,2026-07-07,46,87,True,True,True,False,0,False,"no AGENTS.md, large composable API surface",library terms: graph | domain terms: graph | package manifest | tests present | adoption 35.0 | API surface 216 | source active 0d | library score 46 | tests | examples | docs | very large repo penalty
dipy/dipy,https://github.com/dipy/dipy,"DIPY is the paragon 3D/4D+ medical imaging library in Python. Contains generic methods for spatial normalization, signal processing, machine learning, statistical analysis and visualization of medical images. Additionall",Python,831,503,2026-07-06T18:42:47Z,199,400,True,True,2026-07-01,70,84,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: library, processing, graph | domain terms: spatial, graph | package manifest | tests present | adoption 23.3 | API surface 400 | source active 6d | library score 70 | tests | examples | docs"
braindecode/braindecode,https://github.com/braindecode/braindecode,"Deep learning software to decode EEG, ECG or MEG signals",Python,1262,269,2026-07-07T10:54:09Z,144,200,True,True,2026-07-02,36,82,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface",library terms: graph | domain terms: graph | package manifest | adoption 26.1 | API surface 200 | source active 5d | library score 36 | tests | examples | docs
nipy/nipype,https://github.com/nipy/nipype,Workflows and interfaces for neuroimaging packages,Python,830,545,2026-07-07T01:15:05Z,322,604,True,True,2026-05-20,46,76,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: engine, package | package manifest | tests present | adoption 23.3 | API surface 604 | source active 48d | library score 46 | tests | examples | docs"
nipy/nibabel,https://github.com/nipy/nibabel,Python package to access a cacophony of neuro-imaging file formats,Python,779,286,2026-07-06T21:55:42Z,120,317,True,True,2026-07-02,46,71,True,False,False,False,0,False,"no AGENTS.md, few/no examples, large composable API surface","library terms: package, format | package manifest | tests present | adoption 22.1 | API surface 317 | source active 5d | library score 46 | tests"
ANTsX/ANTsPy,https://github.com/ANTsX/ANTsPy,"A fast medical imaging analysis library in Python with algorithms for registration, segmentation, and more.",Python,878,179,2026-06-17T19:40:40Z,117,198,True,True,2026-05-23,38,65,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface",library terms: library | package manifest | tests present | adoption 17.7 | API surface 198 | source active 45d | library score 38 | tests | docs
aramis-lab/clinicadl,https://github.com/aramis-lab/clinicadl,Open-source Python library for reproducible deep learning in neuroimaging,Python,183,60,2026-06-23T20:09:01Z,226,274,True,True,2026-06-10,38,61,True,True,True,False,0,False,"no AGENTS.md, large composable API surface",library terms: library | package manifest | tests present | adoption 4.8 | API surface 274 | source active 27d | library score 38 | tests | examples | docs
brainiak/brainiak,https://github.com/brainiak/brainiak,Brain Imaging Analysis Kit,Python,375,141,2026-06-20T15:31:51Z,40,253,True,True,2026-04-02,38,58,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface",domain terms: distributed | package manifest | tests present | adoption 10.8 | API surface 253 | source active 96d | library score 38 | tests | examples | docs
neuronets/nobrainer,https://github.com/neuronets/nobrainer,A framework for developing neural network models for 3D image processing.,Python,167,44,2026-04-14T16:29:40Z,80,175,True,True,2026-04-02,46,48,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface","library terms: framework, processing | package manifest | tests present | adoption 3.9 | API surface 175 | source active 97d | library score 46 | tests | docs"
HALFpipe/HALFpipe,https://github.com/HALFpipe/HALFpipe,ENIGMA HALFpipe is a user-friendly software that facilitates reproducible analysis of fMRI data,Python,127,22,2026-06-29T21:07:30Z,325,162,True,True,2026-03-30,38,42,True,False,False,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface",library terms: pipeline | package manifest | tests present | adoption 2.4 | API surface 162 | source active 99d | library score 38 | tests
