repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
materialsproject/pymatgen,https://github.com/materialsproject/pymatgen,Python Materials Genomics (pymatgen) is a robust materials analysis code that defines classes for structures and molecules with support for many electronic structure codes. It powers the Materials Project.,Python,1920,958,2026-07-01T09:43:46Z,144,577,True,True,2026-06-18,54,93,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: format | domain terms: genomics, materials | package manifest | tests present | adoption 34.2 | API surface 577 | source active 19d | library score 54 | tests | examples | docs"
materialsproject/atomate2,https://github.com/materialsproject/atomate2,atomate2 is a library of computational materials science workflows ,Python,322,151,2026-07-06T07:38:01Z,275,163,True,True,2026-07-01,46,64,True,False,True,False,0,False,"no AGENTS.md, few/no examples, large composable API surface",library terms: library | domain terms: materials | package manifest | tests present | adoption 10.8 | API surface 163 | source active 6d | library score 46 | tests | docs
Quantum-Accelerators/quacc,https://github.com/Quantum-Accelerators/quacc,quacc is a flexible platform for computational materials science and quantum chemistry that is built for the big data era.,Python,269,74,2026-07-07T20:13:19Z,134,83,True,True,2026-06-29,36,62,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","domain terms: chemistry, materials | app-ish terms: ui | package manifest | tests present | adoption 6.4 | API surface 83 | source active 9d | library score 36 | tests | examples | docs"
argonne-lcf/ChemGraph,https://github.com/argonne-lcf/ChemGraph,Agentic framework for computational chemistry and materials science workflows,Python,129,39,2026-07-07T20:09:15Z,152,125,True,True,2026-06-01,70,59,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: framework, graph | domain terms: chemistry, materials, graph | package manifest | tests present | adoption 3.2 | API surface 125 | source active 36d | library score 70 | tests | examples | docs"
FAIRmat-NFDI/nomad,https://github.com/FAIRmat-NFDI/nomad,"NOMAD lets you manage and share your materials science data in a way that makes it truly useful to you, your group, and the community.",Python,117,30,2026-07-03T15:44:23Z,244,140,True,True,2026-07-03,38,59,True,True,True,True,0,False,large composable API surface,domain terms: materials | package manifest | tests present | adoption 2.7 | API surface 140 | source active 4d | library score 38 | tests | examples | docs
NVIDIA/nvalchemi-toolkit-ops,https://github.com/NVIDIA/nvalchemi-toolkit-ops,ALCHEMI Toolkit-Ops is a collection of optimized batch kernels to accelerate computational chemistry and material science workflows.,Python,203,29,2026-07-08T02:59:05Z,173,396,True,True,2026-06-10,36,59,True,True,True,True,0,False,large composable API surface,library terms: toolkit | domain terms: chemistry | package manifest | adoption 3.5 | API surface 396 | source active 27d | library score 36 | tests | examples | docs
JaGeo/LobsterPy,https://github.com/JaGeo/LobsterPy,Package to perform automatic bonding analysis with the program Lobster in the field of computational materials science and quantum chemistry,Python,123,36,2026-07-06T19:38:06Z,22,107,True,True,2026-05-06,62,58,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: package, format | domain terms: chemistry, materials | package manifest | tests present | adoption 3.0 | API surface 107 | source active 62d | library score 62 | tests | examples | docs"
NVIDIA/nvalchemi-toolkit,https://github.com/NVIDIA/nvalchemi-toolkit,ALCHEMI Toolkit is a developer toolkit for accelerating training and inference for AI in chemistry and material science.,Python,107,26,2026-07-07T16:00:36Z,117,369,True,True,2026-07-02,36,58,True,True,True,True,0,False,large composable API surface,library terms: toolkit | domain terms: chemistry | package manifest | adoption 2.4 | API surface 369 | source active 5d | library score 36 | tests | examples | docs
PaddlePaddle/PaddleMaterials,https://github.com/PaddlePaddle/PaddleMaterials,"PaddleMaterials is a data-mechanism dual-driven, foundation model development and deployment, end to end toolkit based on PaddlePaddle deep learning framework for materials science.",Python,117,41,2026-07-06T04:13:50Z,184,264,True,True,2026-06-23,44,56,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: toolkit, framework | domain terms: materials | package manifest | adoption 3.2 | API surface 264 | source active 14d | library score 44 | tests | docs"
libAtoms/matscipy,https://github.com/libAtoms/matscipy,Materials science with Python at the atomic-scale,Python,238,68,2026-06-30T15:01:52Z,128,338,True,True,2026-01-06,38,53,True,True,True,False,0,False,"no AGENTS.md, large composable API surface",domain terms: materials | package manifest | tests present | adoption 5.8 | API surface 338 | source active 182d | library score 38 | tests | examples | docs
