repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
TorchIO-project/torchio,https://github.com/TorchIO-project/torchio,Medical imaging processing for AI applications.,Python,2418,270,2026-07-06T22:26:19Z,86,228,True,True,2026-06-24,38,90,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface",library terms: processing | package manifest | tests present | adoption 33.5 | API surface 228 | source active 13d | library score 38 | tests | examples | docs
dipy/dipy,https://github.com/dipy/dipy,"DIPY is the paragon 3D/4D+ medical imaging library in Python. Contains generic methods for spatial normalization, signal processing, machine learning, statistical analysis and visualization of medical images. Additionall",Python,831,503,2026-07-06T18:42:47Z,199,400,True,True,2026-07-01,70,84,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: library, processing, graph | domain terms: spatial, graph | package manifest | tests present | adoption 23.3 | API surface 400 | source active 6d | library score 70 | tests | examples | docs"
matthewwithanm/django-imagekit,https://github.com/matthewwithanm/django-imagekit,Automated image processing for Django. Currently v6.0,Python,2351,277,2026-02-22T18:16:28Z,37,165,True,True,2026-01-16,38,77,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface",library terms: processing | package manifest | tests present | adoption 33.9 | API surface 165 | source active 173d | library score 38 | tests | docs
xavctn/img2table,https://github.com/xavctn/img2table,"img2table is a table identification and extraction Python Library for PDF and images, based on OpenCV image processing",Python,876,120,2026-05-10T21:13:27Z,65,134,True,True,2026-05-10,46,67,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: library, processing | package manifest | tests present | adoption 14.8 | API surface 134 | source active 58d | library score 46 | tests | examples | docs"
mahmoodlab/TRIDENT,https://github.com/mahmoodlab/TRIDENT,Toolkit for large-scale whole-slide image processing. ,Python,598,133,2026-07-03T13:54:03Z,47,274,True,True,2026-07-03,46,66,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: toolkit, processing | package manifest | tests present | adoption 12.6 | API surface 274 | source active 4d | library score 46 | tests | docs"
albumentations-team/albucore,https://github.com/albumentations-team/albucore,A high-performance image processing library designed to optimize and extend the Albumentations library with specialized functions for advanced image transformations. Perfect for developers working in computer vision who ,Python,122,11,2026-07-07T14:57:06Z,45,340,True,True,2026-07-06,58,57,True,False,True,True,0,False,"few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: library, optimization, processing | domain terms: optimization | app-ish terms: ui | package manifest | tests present | adoption 1.8 | API surface 340 | source active 1d | library score 58 | tests | docs"
google-deepmind/dm_pix,https://github.com/google-deepmind/dm_pix,"PIX is an image processing library in JAX, for JAX.",Python,441,29,2026-07-08T00:38:49Z,10,53,True,True,2026-07-08,36,55,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface","library terms: library, processing | package manifest | adoption 5.9 | API surface 53 | source active 0d | library score 36 | tests | examples | docs"
haruishi43/equilib,https://github.com/haruishi43/equilib,🌎→🗾Equirectangular (360/panoramic) image processing library for Python with minimal dependencies only using Numpy and PyTorch,Python,215,27,2026-06-21T23:54:49Z,68,143,True,True,2026-06-21,36,55,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface","library terms: library, processing | app-ish terms: ui | package manifest | tests present | adoption 3.5 | API surface 143 | source active 16d | library score 36 | tests | docs"
Azure/gpt-rag-ingestion,https://github.com/Azure/gpt-rag-ingestion,"The GPT-RAG Data Ingestion service automates processing of diverse documents—PDFs, images, spreadsheets, transcripts, and SharePoint—readying them for Azure AI Search. It applies smart chunking, generates text and image ",Python,186,96,2026-07-01T17:44:52Z,43,166,True,True,2026-04-08,38,54,True,False,True,True,0,False,"few/no examples, no CONTRIBUTING detected, large composable API surface",library terms: processing | package manifest | tests present | adoption 6.7 | API surface 166 | source active 90d | library score 38 | tests | docs
dask/dask-image,https://github.com/dask/dask-image,Distributed image processing,Python,228,57,2026-06-22T02:42:35Z,34,127,True,True,2026-05-27,46,54,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface",library terms: processing | domain terms: distributed | package manifest | tests present | adoption 5.1 | API surface 127 | source active 41d | library score 46 | tests | docs
