repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
tslearn-team/tslearn,https://github.com/tslearn-team/tslearn,The machine learning toolkit for time series analysis in Python,Python,3158,374,2026-07-07T14:30:15Z,64,166,True,True,2026-06-30,46,92,True,True,True,False,0,False,"no AGENTS.md, large composable API surface",library terms: toolkit | domain terms: timeseries | package manifest | tests present | adoption 35.0 | API surface 166 | source active 7d | library score 46 | tests | examples | docs
sktime/pytorch-forecasting,https://github.com/sktime/pytorch-forecasting,Time series forecasting with PyTorch,Python,4943,871,2026-06-29T09:22:17Z,155,155,True,True,2026-06-29,38,91,True,True,True,False,0,False,"no AGENTS.md, large composable API surface",domain terms: timeseries | package manifest | tests present | adoption 35.0 | API surface 155 | source active 8d | library score 38 | tests | examples | docs
AIStream-Peelout/flow-forecast,https://github.com/AIStream-Peelout/flow-forecast,"Deep learning PyTorch library for time series forecasting, classification, and anomaly detection (originally for flood forecasting).",Python,2285,303,2026-07-03T05:46:40Z,64,224,True,True,2026-07-03,38,87,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface",library terms: library | package manifest | tests present | adoption 35.0 | API surface 224 | source active 4d | library score 38 | tests | docs
stumpy-dev/stumpy,https://github.com/stumpy-dev/stumpy,STUMPY is a powerful and scalable Python library for modern time series analysis,Python,4110,353,2026-06-24T11:41:45Z,45,146,True,True,2026-06-24,38,87,True,False,True,False,0,False,"no AGENTS.md, few/no examples, large composable API surface",library terms: library | package manifest | tests present | adoption 35.0 | API surface 146 | source active 13d | library score 38 | tests | docs
skforecast/skforecast,https://github.com/skforecast/skforecast,"Python library for time series forecasting using scikit-learn compatible models, statistical methods, and foundation models",Python,1507,193,2026-07-07T10:17:29Z,82,275,True,True,2026-07-03,46,82,True,True,True,True,0,False,large composable API surface,library terms: library | domain terms: probabilistic | package manifest | tests present | adoption 24.7 | API surface 275 | source active 4d | library score 46 | tests | examples | docs
aeon-toolkit/aeon,https://github.com/aeon-toolkit/aeon,A toolkit for time series  machine learning and deep learning,Python,1406,296,2026-07-07T20:41:01Z,504,56,True,True,2026-07-07,38,79,True,True,True,True,0,False,large composable API surface,library terms: toolkit | package manifest | tests present | adoption 28.9 | API surface 56 | source active 0d | library score 38 | tests | examples | docs
winedarksea/AutoTS,https://github.com/winedarksea/AutoTS,Automated Time Series Forecasting,Python,1416,124,2026-06-22T14:12:40Z,120,295,True,True,2026-06-14,46,78,True,True,True,True,0,False,"no CHANGELOG detected, large composable API surface","library terms: engine, processing | package manifest | tests present | adoption 20.4 | API surface 295 | source active 23d | library score 46 | tests | examples | docs"
GestaltCogTeam/BasicTS,https://github.com/GestaltCogTeam/BasicTS,A Fair and Scalable Time Series Forecasting Benchmark and Toolkit.,Python,1797,215,2025-12-23T09:30:15Z,252,173,True,True,2025-12-23,38,76,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface",library terms: toolkit | package manifest | tests present | adoption 28.7 | API surface 173 | source active 197d | library score 38 | tests | examples | docs
insarlab/MintPy,https://github.com/insarlab/MintPy,Miami InSAR time-series software in Python,Python,811,314,2026-07-06T08:13:15Z,203,189,True,True,2026-05-29,46,72,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface",library terms: format | domain terms: physics | package manifest | tests present | adoption 23.1 | API surface 189 | source active 39d | library score 46 | tests | docs
lightkurve/lightkurve,https://github.com/lightkurve/lightkurve,A friendly package for Kepler & TESS time series analysis in Python.,Python,515,192,2026-06-24T21:57:41Z,49,374,True,True,2026-06-24,62,71,True,False,True,False,0,False,"no AGENTS.md, few/no examples, large composable API surface","library terms: package | domain terms: astronomy, physics, timeseries | package manifest | tests present | adoption 14.8 | API surface 374 | source active 13d | library score 62 | tests | docs"
