repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
CalebBell/thermo,https://github.com/CalebBell/thermo,Thermodynamics and Phase Equilibrium component of Chemical Engineering Design Library (ChEDL),Python,765,135,2026-06-19T04:16:55Z,105,397,True,True,2026-06-19,66,75,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, large composable API surface","library terms: library, engine, simulation | domain terms: chemistry, physics | app-ish terms: ui | package manifest | tests present | adoption 14.4 | API surface 397 | source active 18d | library score 66 | tests | examples | docs"
MLCIL/scikit-fingerprints,https://github.com/MLCIL/scikit-fingerprints,Scikit-learn compatible library for molecular fingerprints and chemoinformatics,Python,377,33,2026-07-05T20:45:34Z,178,117,True,True,2026-07-05,62,65,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface","library terms: library, format | domain terms: chemistry, bioinformatics | package manifest | tests present | adoption 5.4 | API surface 117 | source active 2d | library score 62 | tests | examples | docs"
chemosim-lab/ProLIF,https://github.com/chemosim-lab/ProLIF,Interaction Fingerprints for protein-ligand complexes and more,Python,510,98,2026-06-21T19:42:50Z,34,182,True,True,2026-06-20,38,62,True,False,True,False,0,False,"no AGENTS.md, few/no examples, large composable API surface",library terms: format | package manifest | tests present | adoption 10.0 | API surface 182 | source active 17d | library score 38 | tests | docs
jvalegre/aqme,https://github.com/jvalegre/aqme,"Automated Quantum Mechanical Environments (AQME) offers transparent and reproducible workflows available for Jupyter Notebooks and command lines, including: 1) RDKit- and CREST-based conformer generation, 2) QM input fil",Python,129,31,2026-07-07T14:26:50Z,22,199,True,True,2026-07-06,54,61,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: processing, format | domain terms: chemistry | package manifest | tests present | adoption 2.8 | API surface 199 | source active 1d | library score 54 | tests | examples | docs"
experimental-design/bofire,https://github.com/experimental-design/bofire,Experimental design and (multi-objective) bayesian optimization.,Python,395,50,2026-07-07T12:24:53Z,261,254,True,True,2026-07-03,54,61,True,False,True,False,0,False,"no AGENTS.md, few/no examples, large composable API surface","library terms: optimization, format | domain terms: optimization | package manifest | tests present | adoption 6.5 | API surface 254 | source active 4d | library score 54 | tests | docs"
MolecularAI/aizynthfinder,https://github.com/MolecularAI/aizynthfinder,A tool for retrosynthetic planning,Python,862,180,2026-04-13T08:06:57Z,72,255,True,True,2026-03-11,38,61,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface",library terms: format | package manifest | tests present | adoption 17.6 | API surface 255 | source active 118d | library score 38 | tests | docs
mqcomplab/bblean,https://github.com/mqcomplab/bblean,"BitBIRCH-Lean, a memory-efficient implementation of BitBIRCH designed for high-throughput clustering of huge molecular libraries",Python,125,13,2026-07-08T02:03:25Z,23,240,True,True,2026-05-04,54,56,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: format | domain terms: scientific, chemistry | package manifest | tests present | adoption 1.9 | API surface 240 | source active 64d | library score 54 | tests | examples | docs"
datamol-io/datamol,https://github.com/datamol-io/datamol,Molecular Processing Made Easy.,Python,540,63,2026-05-20T12:57:45Z,48,222,True,True,2026-03-25,54,54,True,False,True,False,0,False,"no AGENTS.md, few/no examples, large composable API surface","library terms: processing, format | domain terms: chemistry | package manifest | tests present | adoption 8.6 | API surface 222 | source active 104d | library score 54 | tests | docs"
lukasturcani/stk,https://github.com/lukasturcani/stk,"A Python library which allows construction and manipulation of complex molecules, as well as automatic molecular design and the creation of molecular databases.",Python,286,52,2026-01-04T10:55:33Z,290,175,True,True,2026-01-04,70,53,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: library, modeling, format | domain terms: chemistry, materials | package manifest | tests present | adoption 5.5 | API surface 175 | source active 184d | library score 70 | tests | docs"
chembl/FPSim2,https://github.com/chembl/FPSim2,Simple package for fast molecular similarity searches,Python,174,23,2026-03-11T20:38:41Z,17,78,True,True,2026-02-26,54,48,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: package, format | domain terms: chemistry | package manifest | tests present | adoption 2.9 | API surface 78 | source active 132d | library score 54 | tests | docs"
