repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
LCAV/pyroomacoustics,https://github.com/LCAV/pyroomacoustics,Pyroomacoustics is a package for audio signal processing for indoor applications. It was developed as a fast prototyping platform for beamforming algorithms in indoor scenarios.,Python,1896,488,2026-06-26T02:53:31Z,86,273,True,True,2026-06-26,46,91,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: package, processing | package manifest | tests present | adoption 34.0 | API surface 273 | source active 12d | library score 46 | tests | examples | docs"
benedekrozemberczki/pytorch_geometric_temporal,https://github.com/benedekrozemberczki/pytorch_geometric_temporal,PyTorch Geometric Temporal: Spatiotemporal Signal Processing with Neural Machine Learning Models (CIKM 2021),Python,2991,405,2026-05-30T17:29:01Z,60,147,True,True,2026-05-06,52,88,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface","library terms: processing, graph | domain terms: spatial, graph | package manifest | adoption 35.0 | API surface 147 | source active 62d | library score 52 | tests | examples | docs"
dipy/dipy,https://github.com/dipy/dipy,"DIPY is the paragon 3D/4D+ medical imaging library in Python. Contains generic methods for spatial normalization, signal processing, machine learning, statistical analysis and visualization of medical images. Additionall",Python,831,503,2026-07-06T18:42:47Z,199,400,True,True,2026-07-01,70,84,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: library, processing, graph | domain terms: spatial, graph | package manifest | tests present | adoption 23.3 | API surface 400 | source active 6d | library score 70 | tests | examples | docs"
pytorch/audio,https://github.com/pytorch/audio,"Data manipulation and transformation for audio signal processing, powered by PyTorch",Python,2898,783,2026-07-07T12:20:32Z,90,125,True,True,2026-01-26,36,82,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface","library terms: processing, format | package manifest | adoption 35.0 | API surface 125 | source active 162d | library score 36 | tests | examples | docs"
mph-/lcapy,https://github.com/mph-/lcapy,Lcapy is a Python package for symbolic linear circuit analysis and signal processing.  It uses SymPy for symbolic mathematics.,Python,296,54,2026-07-03T08:10:08Z,208,214,True,True,2026-07-03,36,62,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: package, processing | app-ish terms: ui | package manifest | tests present | adoption 5.7 | API surface 214 | source active 4d | library score 36 | tests | examples | docs"
TorchDSP/torchsig,https://github.com/TorchDSP/torchsig,TorchSig is an open-source signal processing machine learning toolkit based on the PyTorch data handling pipeline.,Python,337,79,2026-06-05T17:36:51Z,35,257,True,True,2026-04-27,54,61,True,True,True,False,0,False,"no AGENTS.md, no CHANGELOG detected, large composable API surface","library terms: toolkit, processing, pipeline | package manifest | tests present | adoption 7.3 | API surface 257 | source active 71d | library score 54 | tests | examples | docs"
mir-evaluation/mir_eval,https://github.com/mir-evaluation/mir_eval,Evaluation functions for music/audio information retrieval/signal processing algorithms.,Python,706,119,2026-02-19T21:07:16Z,21,184,True,True,2026-02-19,46,57,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: processing, format | package manifest | tests present | adoption 13.0 | API surface 184 | source active 138d | library score 46 | tests | docs"
epfl-lts2/pygsp,https://github.com/epfl-lts2/pygsp,Graph Signal Processing in Python,Python,540,96,2025-09-11T21:49:49Z,62,130,True,True,2025-09-11,54,56,True,True,False,False,0,False,"no AGENTS.md, large composable API surface","library terms: processing, graph | domain terms: graph | package manifest | tests present | adoption 10.2 | API surface 130 | source active 299d | library score 54 | tests | examples"
neurodsp-tools/neurodsp,https://github.com/neurodsp-tools/neurodsp,Digital signal processing for neural time series.,Python,353,71,2026-06-10T22:35:02Z,87,152,True,True,2026-05-16,38,54,True,True,False,False,0,False,"no AGENTS.md, large composable API surface",library terms: processing | package manifest | tests present | adoption 7.1 | API surface 152 | source active 52d | library score 38 | tests | examples
mwickert/scikit-dsp-comm,https://github.com/mwickert/scikit-dsp-comm,A collection of functions and classes to support signal processing and communications theory teaching and research,Python,208,59,2026-04-09T16:59:49Z,13,208,True,True,2026-04-09,38,52,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface",library terms: processing | package manifest | tests present | adoption 5.0 | API surface 208 | source active 89d | library score 38 | tests | docs
