repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
materialsproject/pymatgen,https://github.com/materialsproject/pymatgen,Python Materials Genomics (pymatgen) is a robust materials analysis code that defines classes for structures and molecules with support for many electronic structure codes. It powers the Materials Project.,Python,1920,958,2026-07-01T09:43:46Z,144,577,True,True,2026-06-18,54,93,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: format | domain terms: genomics, materials | package manifest | tests present | adoption 34.2 | API surface 577 | source active 19d | library score 54 | tests | examples | docs"
galaxyproject/galaxy,https://github.com/galaxyproject/galaxy,Data intensive science for everyone.,Python,1804,1163,2026-07-07T15:33:26Z,1375,268,True,True,2026-07-07,70,89,True,True,True,True,0,False,large composable API surface,"library terms: engine, pipeline, format | domain terms: bioinformatics, genomics | package manifest | tests present | adoption 33.0 | API surface 268 | source active 0d | library score 70 | tests | examples | docs | very large repo penalty"
ClawBio/ClawBio,https://github.com/ClawBio/ClawBio,🦖 ClawBio - The first bioinformatics-native AI agent skill library. Local-first. Reproducible. Open. Free.,Python,1025,223,2026-07-07T08:50:21Z,265,293,True,True,2026-07-07,52,80,True,True,True,True,0,False,large composable API surface,"library terms: library, format | domain terms: bioinformatics, genomics | app-ish terms: ui | package manifest | tests present | adoption 21.4 | API surface 293 | source active 0d | library score 52 | tests | examples | docs"
google/deepvariant,https://github.com/google/deepvariant,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data.,Python,3746,792,2026-03-19T04:57:17Z,69,368,True,True,2026-02-09,52,80,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface","library terms: pipeline, format | domain terms: bioinformatics, genomics | package manifest | adoption 35.0 | API surface 368 | source active 148d | library score 52 | tests | docs"
tanghaibao/jcvi,https://github.com/tanghaibao/jcvi,"Python library to facilitate genome assembly, annotation, and comparative genomics",Python,921,201,2026-07-06T14:30:38Z,155,512,True,True,2026-07-06,62,75,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: library, format | domain terms: bioinformatics, genomics | package manifest | tests present | adoption 19.3 | API surface 512 | source active 1d | library score 62 | tests | docs"
aipoch/medical-research-skills,https://github.com/aipoch/medical-research-skills,"Hundreds of agent skills for medical research, including protocol design, data analysis, evidence insights, and academic writing.",Python,1314,88,2026-06-23T10:32:42Z,681,307,True,True,2026-06-23,76,74,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, large composable API surface","library terms: protocol, format | domain terms: spatial, bioinformatics, genomics | package manifest | tests present | adoption 17.5 | API surface 307 | source active 14d | library score 76 | tests | examples | docs | very large repo penalty"
hail-is/hail,https://github.com/hail-is/hail,Cloud-native genomic dataframes and batch computing,Python,1067,266,2026-07-07T17:08:44Z,579,321,True,True,2026-07-06,52,73,True,False,True,True,0,False,"few/no examples, no CONTRIBUTING detected, large composable API surface","library terms: format | domain terms: bioinformatics, genomics, dataframe | package manifest | adoption 24.0 | API surface 321 | source active 1d | library score 52 | tests | docs | very large repo penalty"
scverse/gget,https://github.com/scverse/gget,🧬 gget enables efficient querying of genomic reference databases,Python,1173,92,2026-07-08T02:56:48Z,31,173,True,True,2026-06-28,46,70,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface",library terms: query | domain terms: genomics | package manifest | tests present | adoption 16.3 | API surface 173 | source active 9d | library score 46 | tests | docs
tskit-dev/tskit,https://github.com/tskit-dev/tskit,Population-scale Ancestral Recombination Graph (ARG) library,Python,188,84,2026-07-06T08:54:01Z,26,1011,True,True,2026-07-03,84,69,True,True,True,False,0,False,"no AGENTS.md, large composable API surface","library terms: library, graph, format | domain terms: bioinformatics, genomics, phylogenetic | package manifest | tests present | adoption 6.1 | API surface 1011 | source active 4d | library score 84 | tests | examples | docs"
tanghaibao/goatools,https://github.com/tanghaibao/goatools,Python library to handle Gene Ontology (GO) terms,Python,899,211,2026-06-22T03:19:33Z,130,179,True,True,2026-05-12,46,68,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, large composable API surface",library terms: library | domain terms: genomics | package manifest | tests present | adoption 19.5 | API surface 179 | source active 56d | library score 46 | tests | docs
