repo,url,description,language,stars,forks,pushed_at,source_files,public_api_count,enough_for_5_combo_tests,source_active,last_source_commit_date,library_score,final_score,has_tests,has_examples,has_docs,has_agents,usage_issue_hits,pypi_found,llm_gaps,reasons
google-research/scenic,https://github.com/google-research/scenic,Scenic: A Jax Library for Computer Vision Research and Beyond,Python,3818,478,2026-07-08T00:14:58Z,818,232,True,True,2026-07-07,38,87,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface",library terms: library | package manifest | tests present | adoption 35.0 | API surface 232 | source active 0d | library score 38 | tests | docs
unrealcv/unrealcv,https://github.com/unrealcv/unrealcv,UnrealCV: Connecting Computer Vision to Unreal Engine,Python,2191,461,2026-04-15T08:48:16Z,22,326,True,True,2026-04-15,36,86,True,True,True,False,0,False,"no AGENTS.md, no CONTRIBUTING detected, large composable API surface","library terms: engine, simulation | package manifest | adoption 35.0 | API surface 326 | source active 83d | library score 36 | tests | examples | docs"
open-edge-platform/geti,https://github.com/open-edge-platform/geti,Build computer vision models in a fraction of the time and with less data.,Python,1257,469,2026-07-08T03:07:22Z,660,207,True,True,2026-07-07,36,79,True,False,True,True,0,False,"few/no examples, large composable API surface",library terms: optimization | domain terms: optimization | app-ish terms: ui | package manifest | tests present | adoption 27.6 | API surface 207 | source active 0d | library score 36 | tests | docs
MaliosDark/wifi-3d-fusion,https://github.com/MaliosDark/wifi-3d-fusion,"WiFi-3D-Fusion is an open-source research project that leverages WiFi CSI signals and deep learning to estimate 3D human pose, fusing wireless sensing with computer vision techniques for next-generation spatial awareness",Python,1572,174,2025-08-26T21:22:46Z,27,184,True,True,2025-08-25,38,72,True,True,True,False,0,False,"no AGENTS.md, large composable API surface",domain terms: spatial | package manifest | tests present | adoption 24.4 | API surface 184 | source active 316d | library score 38 | tests | examples | docs
byjlw/video-analyzer,https://github.com/byjlw/video-analyzer,"Analyze videos using LLMs, Computer Vision and Automatic Speech Recognition",Python,1492,214,2026-04-19T19:29:05Z,24,73,True,True,2026-03-20,38,67,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CHANGELOG detected, large composable API surface",library terms: processing | package manifest | tests present | adoption 25.6 | API surface 73 | source active 109d | library score 38 | tests | docs
insight-platform/Savant,https://github.com/insight-platform/Savant,Python Computer Vision & Video Analytics Framework With Batteries Included,Python,833,81,2026-05-15T04:20:31Z,293,237,True,True,2026-04-09,68,64,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface","library terms: sdk, framework, engine | domain terms: analytics | package manifest | tests present | adoption 12.4 | API surface 237 | source active 89d | library score 68 | tests | docs"
jmerelnyc/Photo-agents,https://github.com/jmerelnyc/Photo-agents,Autonomous self-evolving agents. Vision-grounded layered memory and self-written skills for LLM agents that operate your computer.,Python,836,24,2026-07-03T09:05:28Z,46,257,True,True,2026-07-01,46,63,True,False,True,False,0,False,"no AGENTS.md, few/no examples, large composable API surface",library terms: graph | domain terms: graph | package manifest | tests present | adoption 9.6 | API surface 257 | source active 6d | library score 46 | tests | docs
supervisely/supervisely,https://github.com/supervisely/supervisely,"Supervisely SDK for Python - convenient way to automate, customize and extend Supervisely Platform for your computer vision task ",Python,532,78,2026-07-07T20:20:26Z,1019,693,True,True,2026-07-07,38,61,True,False,True,False,0,False,"no AGENTS.md, few/no examples, no CONTRIBUTING detected, no CHANGELOG detected, large composable API surface",library terms: sdk | package manifest | tests present | adoption 9.2 | API surface 693 | source active 0d | library score 38 | tests | docs
LibreYOLO/libreyolo,https://github.com/LibreYOLO/libreyolo,LibreYOLO is a MIT licensed open source computer vision library,Python,471,34,2026-07-07T23:42:23Z,527,123,True,True,2026-07-07,38,59,True,False,True,True,0,False,"few/no examples, no CHANGELOG detected, large composable API surface",library terms: library | package manifest | tests present | adoption 6.4 | API surface 123 | source active 0d | library score 38 | tests | docs
taco-group/4KAgent,https://github.com/taco-group/4KAgent,[NeurIPS 2025] 4KAgent: Agentic Any Image to 4K Super-Resolution. An intelligent computer vision agent that can magically restore any image to perfect-4K!,Python,809,45,2025-09-24T00:34:25Z,1683,322,True,True,2025-09-23,38,58,True,True,True,False,0,False,"no AGENTS.md, large composable API surface",library terms: processing | package manifest | tests present | adoption 10.3 | API surface 322 | source active 287d | library score 38 | tests | examples | docs
